UnixTime*1000,NrFinished,NrQueued,VMNum,UsedCores,OnPMs,CentralRepoTX
104102000,16285,5,2,2,13,1610200000000
104402000,16310,8,23,71,19,1614800000000
104702000,16366,10,0,0,8,1618100000000
105002000,16389,12,12,32,16,1621600000000
105302000,16454,0,33,69,22,1630100000000
105602000,16500,12,9,22,9,1632300000000
105902000,16540,10,27,63,26,1637900000000
106202000,16623,3,5,7,4,1643800000000
106502000,16629,19,2,4,9,1644100000000
106802000,16667,15,18,35,20,1649300000000
107102000,16755,0,19,68,19,1658200000000
107402000,16788,11,11,29,9,1660600000000
107702000,16842,1,21,43,15,1667000000000
108002000,16902,8,2,2,2,1671100000000
108302000,16904,31,0,0,11,1671100000000
108602000,16925,27,29,63,21,1676100000000
108902000,17027,0,29,69,23,1686300000000
109202000,17078,12,8,20,12,1689300000000
109502000,17143,0,12,21,6,1696200000000
109802000,17165,12,0,0,9,1697200000000
110102000,17180,19,26,74,19,1701300000000
110402000,17263,12,19,51,31,1708900000000
110702000,17338,7,9,25,12,1715400000000
111002000,17388,2,2,2,11,1719700000000
111302000,17405,16,21,60,18,1723300000000
111602000,17480,0,8,11,4,1729500000000
111902000,17486,17,3,6,9,1729600000000
112202000,17527,15,16,38,18,1734700000000
112502000,17610,0,26,63,25,1744000000000
112802000,17646,12,4,8,12,1745300000000
113102000,17653,30,15,43,21,1746900000000
113402000,17755,0,38,82,26,1759200000000
113702000,17799,10,2,4,4,1760000000000
114002000,17799,26,2,4,11,1760000000000
114302000,17859,13,24,55,27,1768000000000
114602000,17945,0,27,63,21,1776800000000
114902000,17979,9,2,4,5,1777700000000
115202000,18000,17,13,31,16,1780700000000
115502000,18075,0,26,74,20,1789500000000
115802000,18126,8,10,27,15,1793000000000
116102000,18160,15,0,0,5,1795300000000
116402000,18188,17,20,44,16,1800100000000
116702000,18267,2,24,62,23,1808400000000
117002000,18310,13,1,2,4,1810400000000
117302000,18319,25,1,2,12,1811200000000
117602000,18363,15,28,60,19,1817135000000
117902000,18434,7,28,84,29,1825300000000
118202000,18494,1,1,1,3,1828600000000
118502000,18495,23,0,0,12,1828600000000
118802000,18564,3,34,92,30,1838900000000
119102000,18636,6,5,7,3,1843200000000
119402000,18643,24,12,30,11,1844400000000
119702000,18693,19,25,59,20,1850700000000
120002000,18791,6,8,20,9,1858800000000
120302000,18828,7,2,2,12,1861700000000
120602000,18856,14,17,39,19,1866000000000
120902000,18912,13,19,51,25,1871800000000
121202000,18985,0,16,46,15,1877746250000
121502000,19026,8,4,7,6,1881600000000
121802000,19041,21,13,35,13,1883900000000
122102000,19103,8,30,76,22,1891600000000
122402000,19178,0,17,41,15,1897800000000
122702000,19211,11,11,33,11,1900300000000
123002000,19238,9,23,72,18,1904200000000
123302000,19315,7,1,2,5,1909600000000
123602000,19317,25,0,0,10,1909600000000
123902000,19342,21,25,60,21,1914600000000
124202000,19423,3,31,76,35,1923300000000
124502000,19471,14,5,10,20,1925400000000
124802000,19534,2,35,83,27,1934400000000
125102000,19603,2,14,43,13,1938800000000
125402000,19629,14,16,40,13,1941428750000
